,location,total_sqft,bath,price,bhk
82,6Th Phase Jp Nagar,1213.0,2.0,63.0,2
83,6Th Phase Jp Nagar,1216.0,2.0,60.0,2
84,6Th Phase Jp Nagar,1460.0,2.0,80.0,2
85,6Th Phase Jp Nagar,2003.0,3.0,200.0,3
86,6Th Phase Jp Nagar,1810.0,3.0,131.0,3
87,6Th Phase Jp Nagar,1515.0,2.0,135.0,3
88,6Th Phase Jp Nagar,1192.0,2.0,75.0,2
89,6Th Phase Jp Nagar,1280.0,2.0,88.0,2
90,7Th Phase Jp Nagar,1080.0,2.0,72.0,2
91,7Th Phase Jp Nagar,1270.0,2.0,93.0,2
92,7Th Phase Jp Nagar,1420.0,2.0,100.0,3
93,7Th Phase Jp Nagar,1850.0,3.0,150.0,3
94,7Th Phase Jp Nagar,1245.0,2.0,94.0,2
95,7Th Phase Jp Nagar,1175.0,2.0,82.0,2
96,7Th Phase Jp Nagar,1400.0,2.0,95.0,3
97,7Th Phase Jp Nagar,2225.0,3.0,160.0,3
98,7Th Phase Jp Nagar,1050.0,2.0,71.0,2
99,7Th Phase Jp Nagar,1100.0,2.0,46.0,2
100,7Th Phase Jp Nagar,918.0,2.0,50.49,2
101,7Th Phase Jp Nagar,1450.0,2.0,100.0,3
102,7Th Phase Jp Nagar,1190.0,2.0,49.98,2
103,7Th Phase Jp Nagar,1420.0,2.0,96.0,3
104,7Th Phase Jp Nagar,1680.0,3.0,120.0,3
105,7Th Phase Jp Nagar,980.0,2.0,69.0,2
106,7Th Phase Jp Nagar,1180.0,2.0,72.0,2
110,7Th Phase Jp Nagar,1400.0,3.0,115.0,3
111,7Th Phase Jp Nagar,1270.0,2.0,83.0,2
113,7Th Phase Jp Nagar,2503.0,4.0,188.0,4
114,7Th Phase Jp Nagar,2200.0,3.0,190.0,3
117,7Th Phase Jp Nagar,1575.0,2.0,110.0,3
118,7Th Phase Jp Nagar,1850.0,3.0,140.0,3
119,7Th Phase Jp Nagar,1575.0,2.0,120.0,3
122,7Th Phase Jp Nagar,1175.0,2.0,82.5,2
125,7Th Phase Jp Nagar,1215.0,2.0,90.0,2
126,7Th Phase Jp Nagar,1050.0,2.0,75.0,2
127,7Th Phase Jp Nagar,1300.0,3.0,89.13,3
128,7Th Phase Jp Nagar,1130.0,2.0,73.0,2
129,7Th Phase Jp Nagar,1450.0,3.0,100.0,3
131,7Th Phase Jp Nagar,1050.0,2.0,50.0,2
132,7Th Phase Jp Nagar,1275.0,2.0,87.0,2
134,7Th Phase Jp Nagar,1650.0,3.0,110.0,3
135,7Th Phase Jp Nagar,850.0,2.0,42.0,2
136,7Th Phase Jp Nagar,1680.0,3.0,117.0,3
138,7Th Phase Jp Nagar,1236.0,2.0,61.33,2
139,7Th Phase Jp Nagar,1000.0,2.0,53.0,2
140,7Th Phase Jp Nagar,1680.0,3.0,125.0,3
141,7Th Phase Jp Nagar,1675.0,2.0,135.0,3
142,7Th Phase Jp Nagar,1187.0,2.0,59.0,2
143,7Th Phase Jp Nagar,1850.0,3.0,155.0,3
144,7Th Phase Jp Nagar,1000.0,2.0,61.0,2
145,7Th Phase Jp Nagar,1460.0,2.0,100.0,3
147,7Th Phase Jp Nagar,1200.0,2.0,62.5,2
148,7Th Phase Jp Nagar,1000.0,2.0,70.65,2
149,7Th Phase Jp Nagar,1080.0,2.0,75.0,2
152,7Th Phase Jp Nagar,1460.0,2.0,97.0,3
153,7Th Phase Jp Nagar,1120.0,2.0,65.0,2
154,7Th Phase Jp Nagar,1100.0,3.0,60.0,2
155,7Th Phase Jp Nagar,1790.0,3.0,120.0,3
157,7Th Phase Jp Nagar,1050.0,2.0,77.0,2
159,7Th Phase Jp Nagar,1040.0,2.0,75.0,2
161,7Th Phase Jp Nagar,1800.0,3.0,130.0,3
162,7Th Phase Jp Nagar,1050.0,2.0,68.0,2
163,7Th Phase Jp Nagar,1000.0,2.0,60.0,2
165,7Th Phase Jp Nagar,1050.0,2.0,77.47,2
166,7Th Phase Jp Nagar,1270.0,2.0,80.0,2
168,7Th Phase Jp Nagar,1680.0,3.0,122.0,3
169,7Th Phase Jp Nagar,1130.0,2.0,85.0,2
170,7Th Phase Jp Nagar,1680.0,3.0,130.0,3
171,7Th Phase Jp Nagar,980.0,2.0,77.44,2
172,7Th Phase Jp Nagar,1680.0,3.0,112.0,3
174,7Th Phase Jp Nagar,2095.0,3.0,150.0,3
175,7Th Phase Jp Nagar,1976.0,3.0,145.0,3
176,7Th Phase Jp Nagar,1600.0,2.0,110.0,3
177,7Th Phase Jp Nagar,1765.0,3.0,118.0,3
178,7Th Phase Jp Nagar,1275.0,2.0,88.0,3
179,7Th Phase Jp Nagar,1450.0,2.0,102.0,3
182,7Th Phase Jp Nagar,750.0,1.0,47.0,1
183,7Th Phase Jp Nagar,990.0,2.0,50.0,2
184,7Th Phase Jp Nagar,1000.0,1.0,60.0,1
186,7Th Phase Jp Nagar,1430.0,2.0,102.0,3
187,7Th Phase Jp Nagar,1128.0,2.0,60.0,2
188,7Th Phase Jp Nagar,1140.0,2.0,57.0,2
189,7Th Phase Jp Nagar,1420.0,3.0,90.0,3
190,7Th Phase Jp Nagar,1530.0,2.0,108.0,2
191,8Th Phase Jp Nagar,1073.5,2.0,54.005,2
192,8Th Phase Jp Nagar,451.0,1.0,29.9,1
194,8Th Phase Jp Nagar,1062.0,2.0,42.47,2
196,8Th Phase Jp Nagar,1455.0,3.0,73.31,3
197,8Th Phase Jp Nagar,871.0,2.0,55.0,2
198,8Th Phase Jp Nagar,1098.0,2.0,43.91,2
199,8Th Phase Jp Nagar,1800.0,3.0,80.0,3
200,8Th Phase Jp Nagar,2700.0,4.0,130.0,4
201,8Th Phase Jp Nagar,1080.0,2.0,38.0,2
202,8Th Phase Jp Nagar,1059.0,2.0,34.5,2
203,8Th Phase Jp Nagar,1080.0,2.0,35.0,2
206,8Th Phase Jp Nagar,500.0,1.0,31.0,1
207,8Th Phase Jp Nagar,1100.0,2.0,35.0,2
208,8Th Phase Jp Nagar,2100.0,4.0,92.0,4
209,8Th Phase Jp Nagar,1035.0,2.0,39.33,2
210,8Th Phase Jp Nagar,909.0,2.0,40.9,2
211,8Th Phase Jp Nagar,1431.5,3.0,72.02,3
212,8Th Phase Jp Nagar,1900.0,4.0,90.0,3
213,8Th Phase Jp Nagar,500.0,1.0,30.0,1
214,8Th Phase Jp Nagar,1125.0,2.0,36.94,2
216,8Th Phase Jp Nagar,1089.0,2.0,43.55,2
218,8Th Phase Jp Nagar,1504.0,2.0,83.0,3
219,8Th Phase Jp Nagar,2600.0,4.0,115.0,4
223,8Th Phase Jp Nagar,1513.0,2.0,62.0,2
224,8Th Phase Jp Nagar,1298.0,2.0,59.0,2
225,8Th Phase Jp Nagar,1006.0,2.0,44.0,2
226,8Th Phase Jp Nagar,500.0,1.0,33.0,1
227,8Th Phase Jp Nagar,1160.0,2.0,95.0,2
228,8Th Phase Jp Nagar,1245.0,2.0,59.0,2
229,8Th Phase Jp Nagar,1510.0,2.0,80.0,2
230,8Th Phase Jp Nagar,3300.0,3.0,165.0,3
231,8Th Phase Jp Nagar,1730.0,5.0,75.0,5
234,8Th Phase Jp Nagar,1046.0,2.0,48.0,2
236,8Th Phase Jp Nagar,1408.0,3.0,80.0,3
238,9Th Phase Jp Nagar,1005.0,2.0,50.0,2
240,9Th Phase Jp Nagar,1100.0,2.0,65.0,2
241,9Th Phase Jp Nagar,1080.0,2.0,37.0,2
242,9Th Phase Jp Nagar,1035.0,2.0,45.0,2
243,9Th Phase Jp Nagar,5000.0,4.0,290.0,4
244,9Th Phase Jp Nagar,1164.0,2.0,56.0,2
245,9Th Phase Jp Nagar,1005.0,2.0,42.0,2
246,9Th Phase Jp Nagar,1127.0,2.0,50.0,2
247,9Th Phase Jp Nagar,1005.0,2.0,43.0,2
248,9Th Phase Jp Nagar,835.0,2.0,37.0,2
249,9Th Phase Jp Nagar,1050.0,2.0,39.0,2
250,9Th Phase Jp Nagar,660.0,2.0,27.0,2
251,9Th Phase Jp Nagar,600.0,1.0,20.0,1
252,9Th Phase Jp Nagar,1466.0,2.0,71.0,2
253,9Th Phase Jp Nagar,1890.0,2.0,93.0,3
254,9Th Phase Jp Nagar,1079.0,2.0,60.0,2
255,9Th Phase Jp Nagar,1480.0,2.0,80.0,2
256,9Th Phase Jp Nagar,1200.0,2.0,80.0,2
257,9Th Phase Jp Nagar,905.0,2.0,32.0,2
258,9Th Phase Jp Nagar,1073.0,2.0,52.36,2
259,9Th Phase Jp Nagar,1719.3,2.0,88.0,3
260,9Th Phase Jp Nagar,1780.0,3.0,88.0,3
262,9Th Phase Jp Nagar,1522.0,3.0,90.0,3
265,9Th Phase Jp Nagar,890.0,2.0,45.0,2
267,9Th Phase Jp Nagar,5000.0,4.0,300.0,4
269,9Th Phase Jp Nagar,1050.0,2.0,35.0,2
270,9Th Phase Jp Nagar,1331.95,2.0,69.0,2
271,Abbigere,985.0,2.0,40.39,2
272,Abbigere,2200.0,6.0,68.0,6
273,Abbigere,765.0,2.0,30.0,1
274,Abbigere,880.0,2.0,35.0,2
275,Abbigere,795.0,2.0,32.54,2
276,Abbigere,1005.0,2.0,39.59,2
277,Abbigere,734.0,1.0,19.82,1
279,Abbigere,1020.0,2.0,41.82,2
283,Abbigere,2500.0,6.0,81.0,6
285,Abbigere,1130.0,2.0,46.33,2
286,Abbigere,795.0,1.0,32.6,2
287,Abbigere,3000.0,8.0,150.0,8
288,Abbigere,985.0,2.0,38.92,2
289,Abbigere,1000.0,2.0,41.0,2
290,Abbigere,995.0,2.0,40.8,2
291,Abbigere,1020.0,2.0,40.8,2
292,Aecs Layout,1100.0,2.0,45.0,2
293,Aecs Layout,1028.0,2.0,42.0,2
294,Aecs Layout,1199.0,2.0,65.0,2
295,Aecs Layout,1080.0,2.0,55.0,2
296,Aecs Layout,1123.0,2.0,64.0,2
297,Aecs Layout,1308.0,2.0,60.0,2
298,Aecs Layout,1005.0,2.0,55.0,2
300,Akshaya Nagar,1388.0,2.0,57.0,2
301,Akshaya Nagar,1070.0,2.0,54.0,2
302,Akshaya Nagar,1280.0,2.0,58.0,2
303,Akshaya Nagar,1662.0,3.0,85.1,3
304,Akshaya Nagar,1897.0,3.0,120.0,3
305,Akshaya Nagar,1410.0,2.0,75.0,3
306,Akshaya Nagar,1360.0,2.0,85.0,3
308,Akshaya Nagar,1410.0,2.0,80.0,3
309,Akshaya Nagar,1662.0,3.0,85.0,3
310,Akshaya Nagar,1662.0,3.0,85.5,3
311,Akshaya Nagar,1280.0,2.0,60.0,2
312,Akshaya Nagar,1666.0,3.0,95.0,3
313,Akshaya Nagar,1575.0,3.0,90.0,3
314,Akshaya Nagar,1430.0,2.0,75.0,3
315,Akshaya Nagar,1419.0,2.0,73.0,3
317,Akshaya Nagar,1200.0,2.0,50.0,2
318,Akshaya Nagar,1092.0,2.0,60.0,2
319,Akshaya Nagar,1690.0,3.0,85.0,3
321,Akshaya Nagar,1897.0,4.0,93.0,3
322,Akshaya Nagar,1884.0,3.0,98.0,3
323,Akshaya Nagar,1314.0,2.0,68.8,2
325,Akshaya Nagar,1265.0,2.0,67.0,2
326,Akshaya Nagar,1126.0,2.0,55.0,2
328,Akshaya Nagar,1662.0,3.0,90.0,3
329,Akshaya Nagar,1420.0,2.0,75.0,3
330,Akshaya Nagar,1412.0,2.0,88.0,3
331,Akshaya Nagar,1434.0,3.0,84.0,3
332,Akshaya Nagar,1890.0,4.0,100.0,3
334,Akshaya Nagar,1419.0,2.0,87.0,3
335,Akshaya Nagar,1300.0,2.0,54.0,2
337,Akshaya Nagar,1113.0,2.0,52.0,2
338,Akshaya Nagar,1820.0,4.0,95.0,3
339,Akshaya Nagar,1100.0,2.0,48.0,2
340,Akshaya Nagar,1896.0,3.0,102.0,3
341,Akshaya Nagar,1300.0,2.0,66.0,2
342,Akshaya Nagar,1225.0,2.0,68.0,2
343,Akshaya Nagar,1179.0,2.0,51.0,2
344,Akshaya Nagar,1421.0,2.0,73.0,3
345,Akshaya Nagar,1893.0,4.0,95.0,3
346,Akshaya Nagar,900.0,2.0,45.0,2
347,Ambalipura,1105.0,2.0,75.0,2
348,Ambalipura,1800.0,3.0,110.0,3
349,Ambalipura,1150.0,2.0,80.0,2
350,Ambalipura,1250.0,2.0,66.25,2
351,Ambalipura,1332.0,2.0,79.0,2
352,Ambalipura,1730.0,3.0,120.0,3
354,Ambalipura,1230.0,2.0,66.25,2
355,Ambalipura,1351.0,2.0,77.0,2
359,Ambalipura,1303.0,2.0,80.0,2
360,Ambalipura,1607.0,2.0,112.0,3
361,Ambalipura,770.0,1.0,43.82,1
362,Ambalipura,1700.0,2.0,76.0,2
363,Ambalipura,1060.0,2.0,58.5,2
364,Ambalipura,1650.0,3.0,100.0,3
366,Ambalipura,1198.0,2.0,80.0,2
367,Ambedkar Nagar,1935.0,4.0,130.0,3
368,Ambedkar Nagar,1424.0,2.0,90.0,2
369,Ambedkar Nagar,2225.0,4.0,169.0,3
371,Ambedkar Nagar,1850.0,4.0,139.0,3
372,Ambedkar Nagar,1936.0,4.0,126.0,3
376,Ambedkar Nagar,3530.0,4.0,290.0,4
377,Ambedkar Nagar,1856.0,3.0,120.0,3
378,Ambedkar Nagar,1852.0,3.0,130.0,3
379,Ambedkar Nagar,1850.0,4.0,120.0,3
380,Ambedkar Nagar,1367.0,2.0,86.0,2
381,Ambedkar Nagar,3565.0,4.0,255.0,4
382,Ambedkar Nagar,1409.0,2.0,95.0,2
384,Ambedkar Nagar,1921.0,4.0,129.0,3
386,Ambedkar Nagar,1935.0,4.0,125.0,3
387,Ambedkar Nagar,1852.0,4.0,122.0,3
389,Ambedkar Nagar,1852.0,3.0,125.0,3
390,Ambedkar Nagar,1850.0,4.0,121.0,3
391,Ambedkar Nagar,1425.0,2.0,94.0,2
393,Amruthahalli,900.0,2.0,40.0,2
394,Amruthahalli,1200.0,2.0,55.0,2
395,Amruthahalli,1900.0,3.0,135.0,3
396,Amruthahalli,924.0,2.0,45.0,2
397,Amruthahalli,900.0,2.0,60.0,2
398,Amruthahalli,1100.0,2.0,45.0,2
403,Amruthahalli,1450.0,2.0,85.0,3
405,Amruthahalli,1250.0,2.0,79.0,2
406,Amruthahalli,1190.0,2.0,50.0,2
407,Amruthahalli,1202.0,2.0,65.0,2
408,Amruthahalli,1340.0,2.0,75.0,2
409,Amruthahalli,2650.0,4.0,175.0,3
410,Amruthahalli,1450.0,2.0,90.0,3
411,Amruthahalli,1025.0,2.0,42.0,2
412,Amruthahalli,485.0,1.0,19.5,1
413,Anandapura,1167.0,2.0,43.76,2
414,Anandapura,1000.0,2.0,55.0,2
415,Anandapura,1141.0,2.0,42.79,2
417,Anandapura,1200.0,2.0,67.0,2
418,Anandapura,1200.0,2.0,58.0,2
419,Anandapura,1151.0,2.0,43.1,2
420,Anandapura,1141.0,2.0,42.75,2
421,Anandapura,900.0,2.0,48.0,2
422,Anandapura,1749.0,4.0,90.0,4
423,Anandapura,1151.0,2.0,42.9,2
425,Anandapura,1250.0,2.0,45.0,2
426,Anandapura,1151.0,2.0,43.16,2
428,Anandapura,1200.0,2.0,66.0,3
429,Anandapura,1415.0,2.0,74.0,3
430,Anandapura,1200.0,2.0,50.0,2
431,Anandapura,1141.0,2.0,50.0,2
433,Ananth Nagar,500.0,1.0,14.0,1
434,Ananth Nagar,1100.0,2.0,31.5,2
435,Ananth Nagar,982.0,2.0,24.55,2
436,Ananth Nagar,500.0,2.0,14.0,1
437,Ananth Nagar,900.0,2.0,22.5,2
438,Ananth Nagar,908.0,2.0,26.0,2
439,Ananth Nagar,870.0,2.0,36.0,2
440,Ananth Nagar,937.0,2.0,35.0,2
441,Ananth Nagar,960.0,2.0,37.0,2
443,Ananth Nagar,1000.0,2.0,29.7,2
444,Ananth Nagar,850.0,2.0,25.99,2
445,Ananth Nagar,902.0,2.0,25.26,2
446,Ananth Nagar,1470.0,3.0,54.0,3
447,Ananth Nagar,810.0,2.0,25.5,2
448,Ananth Nagar,890.0,2.0,27.0,2
449,Ananth Nagar,1200.0,2.0,36.0,2
451,Ananth Nagar,1319.0,3.0,42.0,3
452,Ananth Nagar,1000.0,2.0,25.0,2
453,Ananth Nagar,902.0,2.0,25.0,2
454,Ananth Nagar,930.0,2.0,25.99,2
455,Ananth Nagar,1074.0,2.0,26.85,2
457,Ananth Nagar,1010.0,2.0,38.0,2
458,Ananth Nagar,992.0,2.0,24.8,2
460,Anekal,656.0,2.0,22.0,2
461,Anekal,620.0,2.0,22.0,2
462,Anekal,600.0,1.0,16.5,1
463,Anekal,925.0,2.0,40.0,2
464,Anekal,530.0,1.0,18.0,1
465,Anekal,1800.0,3.0,68.0,3
467,Anekal,351.0,1.0,16.0,1
468,Anekal,1035.0,2.0,38.3,2
469,Anekal,888.0,2.0,34.0,2
473,Anekal,1200.0,2.0,36.0,4
474,Anekal,766.0,2.0,28.0,2
475,Anekal,967.0,2.0,45.0,3
476,Anekal,620.0,1.0,23.5,2
477,Anekal,1150.0,3.0,45.0,3
480,Anekal,400.0,1.0,11.5,1
481,Anekal,456.0,1.0,15.0,1
484,Anekal,2400.0,4.0,95.0,3
488,Anekal,420.0,1.0,12.5,1
489,Anekal,614.0,1.0,28.0,2
490,Anekal,1140.0,2.0,52.0,2
491,Anekal,625.0,1.0,25.0,2
492,Anjanapura,1850.0,4.0,86.0,4
493,Anjanapura,1070.0,2.0,39.0,2
494,Anjanapura,1500.0,3.0,121.0,3
495,Anjanapura,1070.0,2.0,37.0,2
496,Anjanapura,950.0,2.0,40.0,2
497,Anjanapura,1280.0,2.0,45.0,3
498,Anjanapura,710.0,2.0,25.0,2
500,Anjanapura,950.0,2.0,32.0,2
501,Anjanapura,1800.0,4.0,55.0,4
502,Anjanapura,1843.0,3.0,87.54,3
503,Anjanapura,1076.0,2.0,30.13,2
504,Anjanapura,950.0,2.0,30.0,2
505,Ardendale,1750.0,3.0,100.0,3
506,Ardendale,3198.0,4.0,200.0,4
507,Ardendale,2422.0,4.0,160.0,4
509,Ardendale,3200.0,4.0,205.0,4
510,Ardendale,1728.0,3.0,95.0,3
511,Ardendale,2062.0,3.0,140.0,4
512,Ardendale,1732.46,3.0,92.0,3
513,Ardendale,2062.0,3.0,150.0,4
515,Ardendale,1224.0,2.0,70.0,2
516,Ardendale,1777.26,3.0,105.0,3
517,Ardendale,1650.0,3.0,82.0,3
520,Ardendale,1224.0,2.0,67.0,2
521,Ardendale,1723.0,3.0,95.0,3
522,Ardendale,1777.26,3.0,89.0,3
523,Ardendale,1777.26,3.0,92.0,3
524,Arekere,2060.0,3.0,140.0,3
525,Arekere,920.0,2.0,40.0,2
526,Arekere,1740.0,2.0,95.0,3
527,Arekere,1190.0,2.0,55.0,2
528,Arekere,600.0,1.0,28.0,1
529,Arekere,2072.0,3.0,108.0,3
530,Arekere,1100.0,2.0,55.0,2
531,Arekere,900.0,2.0,50.0,2
532,Arekere,2710.0,6.0,142.0,4
533,Arekere,1240.0,2.0,60.0,2
534,Arekere,900.0,2.0,44.5,2
535,Attibele,450.0,1.0,11.0,1
536,Attibele,1600.0,4.0,52.8,4
537,Attibele,656.0,2.0,25.0,2
538,Attibele,400.0,1.0,11.0,1
539,Attibele,400.0,1.0,12.0,1
540,Attibele,400.0,1.0,14.0,1
541,Attibele,500.0,1.0,17.0,1
542,Attibele,2168.0,4.0,95.0,4
543,Attibele,395.0,1.0,10.25,1
544,Attibele,420.0,1.0,17.0,1
546,Attibele,418.0,1.0,12.0,1
547,Attibele,1200.0,2.0,42.0,2
548,Attibele,400.0,1.0,10.0,1
549,Attibele,695.0,1.0,25.0,2
550,Attibele,850.0,1.0,25.0,2
551,Attibele,2400.0,3.0,120.0,3
552,Attibele,450.0,1.0,12.5,1
556,Attibele,782.0,1.0,19.55,1
559,Attibele,400.0,1.0,11.5,1
560,Attibele,460.0,1.0,13.0,1
561,Attibele,418.0,2.0,11.5,1
562,Attibele,1000.0,2.0,42.0,2
563,Attibele,550.0,1.0,11.5,1
565,Attibele,410.0,1.0,10.0,1
566,Attibele,1700.0,3.0,65.0,3
567,Attibele,400.0,1.0,10.25,1
569,Attibele,1500.0,3.0,90.0,3
570,Attibele,520.0,1.0,15.0,1
573,Babusapalaya,1611.0,2.0,66.0,3
575,Babusapalaya,1675.0,3.0,75.0,3
576,Babusapalaya,1141.0,2.0,46.0,2
577,Babusapalaya,1500.0,2.0,57.0,2
579,Babusapalaya,1050.0,2.0,45.0,2
580,Babusapalaya,1141.0,2.0,45.9,2
582,Babusapalaya,1230.0,3.0,53.0,3
583,Babusapalaya,1105.0,2.0,40.0,2
584,Babusapalaya,1410.0,2.0,65.0,3
585,Babusapalaya,1450.0,2.0,55.99,2
586,Babusapalaya,1100.0,2.0,38.0,2
588,Babusapalaya,1061.0,2.0,33.84,2
589,Babusapalaya,1061.0,2.0,38.95,2
590,Babusapalaya,1061.0,2.0,34.0,2
591,Babusapalaya,1245.0,2.0,58.0,2
592,Badavala Nagar,1494.0,2.0,94.55,3
593,Badavala Nagar,1274.0,2.0,81.0,2
594,Badavala Nagar,1842.0,3.0,115.0,3
601,Balagere,1210.0,2.0,80.9,2
602,Balagere,1210.0,2.0,72.0,2
603,Balagere,1205.0,2.0,78.5,2
604,Balagere,790.5,1.0,41.9,1
607,Balagere,1020.07,2.0,68.38,2
608,Balagere,1205.47,2.0,81.0,2
609,Balagere,1007.0,2.0,65.0,2
611,Balagere,1210.0,2.0,74.0,2
612,Balagere,1210.0,2.0,83.0,2
613,Balagere,675.0,1.0,45.0,1
614,Balagere,656.0,1.0,43.0,1
616,Balagere,1012.0,2.0,64.0,2
617,Balagere,1007.0,2.0,62.0,2
618,Balagere,1007.0,2.0,67.0,2
619,Balagere,1007.0,2.0,66.0,2
622,Balagere,645.0,1.0,34.18,1
625,Balagere,790.5,1.0,42.295,1
626,Balagere,1012.0,2.0,65.0,2
627,Balagere,656.0,1.0,38.77,1
628,Balagere,645.0,1.0,39.0,1
629,Balagere,645.0,1.0,41.0,1
630,Balagere,1210.0,2.0,82.0,2
631,Balagere,656.0,1.0,34.77,1
632,Balagere,1205.0,2.0,73.87,2
633,Balagere,1012.0,2.0,70.0,2
634,Balagere,1007.0,2.0,68.0,2
636,Balagere,1205.0,2.0,79.0,2
637,Balagere,1012.0,2.0,68.0,2
639,Banashankari,1077.0,2.0,37.64,2
640,Banashankari,1470.0,2.0,88.64,3
641,Banashankari,1300.0,2.0,75.0,3
642,Banashankari,1800.0,3.0,115.0,3
643,Banashankari,1125.0,2.0,63.0,2
645,Banashankari,1310.0,2.0,80.0,2
646,Banashankari,2600.0,4.0,135.0,3
647,Banashankari,1900.0,2.0,170.0,3
648,Banashankari,1260.0,2.0,75.0,2
649,Banashankari,1170.0,2.0,46.79,2
651,Banashankari,1350.0,2.0,83.0,3
653,Banashankari,1330.0,2.0,78.0,2
654,Banashankari,1400.0,2.0,78.0,3
655,Banashankari,1700.0,3.0,125.0,3
656,Banashankari,1020.0,2.0,40.79,2
657,Banashankari,1600.0,2.0,63.98,2
658,Banashankari,1041.0,2.0,36.44,2
659,Banashankari,2400.0,1.0,200.0,1
660,Banashankari,1390.0,2.0,86.0,2
661,Banashankari,1460.0,2.0,70.0,2
662,Banashankari,1200.0,2.0,60.0,2
663,Banashankari,1290.0,2.0,80.0,2
664,Banashankari,1186.0,2.0,65.0,2
665,Banashankari,1650.0,3.0,101.0,3
667,Banashankari,1181.0,2.0,75.0,2
668,Banashankari,1105.0,2.0,90.0,2
669,Banashankari,720.0,1.0,60.0,1
670,Banashankari,1040.0,2.0,45.0,2
671,Banashankari,1330.0,2.0,77.0,2
